User_ID,Resturant_ID,Rating,Timestamp
1,6317637,,881250949
1,6304287,3,891717742
1,6300002,1,878887116
1,6318506,,880606923
1,6314302,1,886397596
1,18189371,,884182806
1,6300781,,881171488
1,6301290,5,891628467
1,6300010,3,886324817
1,6314987,,883603013
1,6309903,2,879372434
1,6309455,,879781125
1,6318433,5,876042340
1,6310470,3,891035994
1,6314605,,888104457
1,18185059,3,879485318
1,18182702,,879270459
1,6318213,2,879539794
1,18255654,,874834944
1,6308205,2,892079237
1,6315438,4,886176814
1,6310406,4,892738452
1,6600681,,877881320
1,6601005,2,874833878
1,6600292,4,887736532
1,6600441,,879196566
1,6600970,5,892430094
1,6600379,,883748450
1,6600214,4,875747401
1,6601218,,876861185
1,6600060,3,877052329
1,6600083,,882075827
2,6601515,,879539727
2,6601361,4,880731963
2,6601602,,884238860
2,6601589,4,886890835
2,6601862,1,878962623
2,6601595,,891295330
2,6601158,1,874791932
2,6600427,4,891350932
2,6600116,,877888877
2,6601457,4,885329322
2,7303219,2,884114233
2,7304307,3,874791805
2,7301215,5,875333916
2,7300596,,884921594
2,7300612,5,879741196
2,7300704,,879641194
2,7300955,5,886519097
2,7300521,,882823437
2,7300515,4,886271884
2,7300483,2,876535131
2,7301064,,890618898
2,7304312,5,885853415
2,7300004,5,888205088
2,7300868,,880037164
2,7302637,,879877127
2,7302140,5,880474293
2,7305048,5,881107687
2,7302898,,881103977
2,7302859,3,881171009
2,7301700,,879667584
2,6706313,4,884112673
2,6704326,3,882141053
3,6711179,4,884920949
3,6702797,5,879024232
3,6700475,,892738341
3,6713413,5,883326620
3,6714340,,883698581
3,6710645,4,891550094
3,6700402,,893277702
3,6700846,3,879987440
3,6702159,1,890251826
3,6711666,3,884923047
3,6701257,,879546723
3,6706211,2,887249482
3,6705858,,882823954
3,6701419,3,886475558
3,6703956,,888906576
3,6709580,5,884364867
3,6703176,5,879539643
3,6713772,3,878192429
3,17284404,,879540748
3,17284203,3,874791025
3,17284105,,874835091
3,17284302,,878183381
3,17284397,5,878971773
3,17284211,3,881108684
3,17284094,,891903862
